# spatial freqs [1/mm], spectrum [a.u.]
8.700000000000000000e+01,8.782301260230741491e+01
8.800000000000000000e+01,7.233402856078919285e+01
8.900000000000000000e+01,7.425526259779282157e+01
9.000000000000000000e+01,6.543114394500221920e+01
9.100000000000000000e+01,6.552883637150262075e+01
9.200000000000000000e+01,6.239977175123775055e+01
9.300000000000000000e+01,6.223104884623256794e+01
9.400000000000000000e+01,5.153006618499485825e+01
9.500000000000000000e+01,5.576390063602794100e+01
9.600000000000000000e+01,4.709311886688728777e+01
9.700000000000000000e+01,5.082074802922236501e+01
9.800000000000000000e+01,4.494942961761731226e+01
9.900000000000000000e+01,4.846359323956239251e+01
1.000000000000000000e+02,3.968359441986781633e+01
1.010000000000000000e+02,4.433408945145593805e+01
1.020000000000000000e+02,3.595523534507518093e+01
1.030000000000000000e+02,4.150298884100698160e+01
1.040000000000000000e+02,3.433215622025004166e+01
1.050000000000000000e+02,3.946252548916148584e+01
1.060000000000000000e+02,3.150941966644930403e+01
1.070000000000000000e+02,3.567293146364409040e+01
1.080000000000000000e+02,2.971002797010084251e+01
1.090000000000000000e+02,3.442256703002662022e+01
1.100000000000000000e+02,2.686681488827534281e+01
1.110000000000000000e+02,3.658794198059795377e+01
1.120000000000000000e+02,2.553825337640006765e+01
1.130000000000000000e+02,3.515193434796534433e+01
1.140000000000000000e+02,2.423233830236174668e+01
1.150000000000000000e+02,3.337244427438577077e+01
1.160000000000000000e+02,2.462016773066209652e+01
1.170000000000000000e+02,3.167153372862140870e+01
1.180000000000000000e+02,2.422212879274947639e+01
1.190000000000000000e+02,3.353961800635383383e+01
1.200000000000000000e+02,2.624874511475510275e+01
1.210000000000000000e+02,3.200668006229896179e+01
1.220000000000000000e+02,2.550814296655914859e+01
1.230000000000000000e+02,3.297892502880134202e+01
1.240000000000000000e+02,2.398650227727880946e+01
1.250000000000000000e+02,3.114642448016422449e+01
1.260000000000000000e+02,2.411949783591871466e+01
1.270000000000000000e+02,3.216436469391710773e+01
1.280000000000000000e+02,2.334441664738231026e+01
1.290000000000000000e+02,3.460246473512645338e+01
1.300000000000000000e+02,2.276548658763098132e+01
1.310000000000000000e+02,3.378768315344520801e+01
1.320000000000000000e+02,2.299290713852052903e+01
1.330000000000000000e+02,3.276880012078001414e+01
1.340000000000000000e+02,2.231227999075687407e+01
1.350000000000000000e+02,3.140717952039832994e+01
1.360000000000000000e+02,1.982608835616704468e+01
1.370000000000000000e+02,2.598913328023174074e+01
1.380000000000000000e+02,2.244941706674416793e+01
1.390000000000000000e+02,2.679735591629505009e+01
1.400000000000000000e+02,2.244044498273725097e+01
1.410000000000000000e+02,2.652148743655443397e+01
1.420000000000000000e+02,2.069730468642121934e+01
1.430000000000000000e+02,2.840913698646425445e+01
1.440000000000000000e+02,2.045755619953585835e+01
1.450000000000000000e+02,2.775310108356068284e+01
1.460000000000000000e+02,1.978577869501902953e+01
1.470000000000000000e+02,2.644995291556947592e+01
1.480000000000000000e+02,1.844783916167422078e+01
1.490000000000000000e+02,2.554197538905521370e+01
1.500000000000000000e+02,1.830290441357462328e+01
1.510000000000000000e+02,2.635692762504311659e+01
1.520000000000000000e+02,1.625431773987570239e+01
1.530000000000000000e+02,2.491808406911009044e+01
1.540000000000000000e+02,1.558938326763974480e+01
1.550000000000000000e+02,2.463803819171294052e+01
1.560000000000000000e+02,1.721825213765832174e+01
1.570000000000000000e+02,2.455410141918575917e+01
1.580000000000000000e+02,1.533008474889721384e+01
1.590000000000000000e+02,2.357005793125497561e+01
1.600000000000000000e+02,1.478983204364938331e+01
1.610000000000000000e+02,2.284039093632102535e+01
1.620000000000000000e+02,1.477387062396393524e+01
1.630000000000000000e+02,2.334356802746927073e+01
1.640000000000000000e+02,1.376467660539761617e+01
1.650000000000000000e+02,2.245152777780047870e+01
1.660000000000000000e+02,1.363862524544000010e+01
1.670000000000000000e+02,2.272606195920793937e+01
1.680000000000000000e+02,1.310982170121818946e+01
1.690000000000000000e+02,2.203983407816142304e+01
1.700000000000000000e+02,1.346659691130684955e+01
1.710000000000000000e+02,2.183135833300726603e+01
1.720000000000000000e+02,1.306354885200126148e+01
1.730000000000000000e+02,2.128304541599450772e+01
1.740000000000000000e+02,1.430476839248615661e+01
1.750000000000000000e+02,2.156554602988374825e+01
1.760000000000000000e+02,1.297350371983287864e+01
1.770000000000000000e+02,2.251639135320255036e+01
1.780000000000000000e+02,1.317438955651562971e+01
1.790000000000000000e+02,2.141468696020085360e+01
1.800000000000000000e+02,1.270984683916018909e+01
1.810000000000000000e+02,2.077180406041280136e+01
